time,error,ip,referrer
2022-11-14 16:35:41.961863, core:error, (13)Permission denied, AH00035: access to /~esalihovic/ denied (filesystem path '/people/home/esalihovic/public_html') because search permissions are missing on a component of the path
2022-11-14 16:40:13.851503, core:error, (13)Permission denied, AH00035: access to /~esalihovic/ denied (filesystem path '/people/home/esalihovic/public_html') because search permissions are missing on a component of the path
2022-11-14 17:07:51.027930, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.027976, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.028031, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 10, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.028042, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 10, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.028077, php7:warn, 10.82.202.39," PHP Warning:  getimagesize(): Filename cannot be empty in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 10, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.028101, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 27, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:07:51.028112, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 27, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:09:33.752896, authz_core:error, 10.82.202.39," AH01630: client denied by server configuration: /people/home/gmaisashvi>, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/profile.php"
2022-11-14 17:09:34.443564, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: stmt in /people/home/gmaisashvi/public_html/includes/showProducts.inc.php on line 14, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/profile.php"
2022-11-14 17:09:34.443601, php7:warn, 10.82.202.39," PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, null given in /people/home/gmaisashvi/public_html/includes/showProducts.inc.php on line 14, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/profile.php"
2022-11-14 17:09:42.807865, php7:notice, 10.82.202.39," PHP Notice:  Undefined variable: stmt in /people/home/gmaisashvi/public_html/includes/showProducts.inc.php on line 14, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/myProducts.php"
2022-11-14 17:09:42.807906, php7:warn, 10.82.202.39," PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, null given in /people/home/gmaisashvi/public_html/includes/showProducts.inc.php on line 14, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/myProducts.php"
2022-11-14 17:10:35.131007, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131063, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 4, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131118, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131193, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131212, php7:warn, 10.82.202.39," PHP Warning:  getimagesize(): Filename cannot be empty in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 9, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131422, php7:notice, 10.82.202.39," PHP Notice:  Undefined index: fileToUpload in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 25, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 17:10:35.131436, php7:notice, 10.82.202.39," PHP Notice:  Trying to access array offset on value of type null in /people/home/gmaisashvi/public_html/components/uploadFile.php on line 25, referer: https://clabsql.clamv.jacobs-university.de/~gmaisashvi/routes/addProduct.php"
2022-11-14 19:00:31.696754, core:crit, (13)Permission denied," AH00529: /people/home/akaleci/public_html/sql/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable and that '/people/home/akaleci/public_html/sql/' is executable"
